Title,Tv,Runtime,Date,isMovie,Genre
Ozark: Season 1: My Dripping Sleep,Ozark,68,4/26/20,False,
Ozark: Season 1: Blue Cat,Ozark,68,4/26/20,False,
Ozark: Season 1: Sugarwood,Ozark,68,4/26/20,False,
The Blacklist: Season 7: Nyle Hatcher (No. 149),The Blacklist,43,4/26/20,False,
"Coronavirus, Explained: Limited Series: This Pandemic","Coronavirus, Explained",26,4/26/20,False,Documentary
Community: Season 1: Introduction to Statistics,Community,22,4/25/20,False,
"Community: Season 1: Football, Feminism and You",Community,22,4/25/20,False,
Community: Season 1: Advanced Criminal Law,Community,22,4/25/20,False,
Community: Season 1: Social Psychology,Community,22,4/25/20,False,
Community: Season 1: Introduction to Film,Community,22,4/25/20,False,
Community: Season 1: Spanish 101,Community,22,4/25/20,False,
Community: Season 1: Community,Community,22,4/25/20,False,
After Life: Season 2: Episode 6,After Life,30,4/25/20,False,"Comedy,Drama"
After Life: Season 2: Episode 5,After Life,30,4/25/20,False,
After Life: Season 2: Episode 4,After Life,30,4/25/20,False,
Win the Wilderness: Season 1: All or Nothing,Win the Wilderness,41,4/25/20,False,
Win the Wilderness: Season 1: Cabin Fever,Win the Wilderness,41,4/25/20,False,
Win the Wilderness: Season 1: The Axe Falls,Win the Wilderness,41,4/25/20,False,
Win the Wilderness: Season 1: Dirty Work,Win the Wilderness,41,4/25/20,False,
Win the Wilderness: Season 1: A Walk on the Wild Side,Win the Wilderness,41,4/25/20,False,
Win the Wilderness: Season 1: Do or Die,Win the Wilderness,41,4/25/20,False,
Extraction,,116,4/25/20,True,"Drama,Action,Thriller"
After Life: Season 2: Episode 3,After Life,30,4/24/20,False,
After Life: Season 2: Episode 2,After Life,30,4/24/20,False,
After Life: Season 2: Episode 1,After Life,30,4/24/20,False,
Circus of Books,,92,4/23/20,True,Documentary
Rising High,,94,4/22/20,True,"Comedy,Drama"
The Innocence Files: Limited Series: The Prosecution: The Million Dollar Man,The Innocence Files,60,4/22/20,False,Documentary
The Innocence Files: Limited Series: The Prosecution: Hidden Alibi,The Innocence Files,60,4/22/20,False,
"The Innocence Files: Limited Series: The Prosecution: Wrong Place, Wrong Time",The Innocence Files,60,4/22/20,False,
The Innocence Files: Limited Series: The Witness: Making Memory,The Innocence Files,60,4/21/20,False,
The Innocence Files: Limited Series: The Witness: The Trials of Franky Carrillo,The Innocence Files,60,4/21/20,False,
The Innocence Files: Limited Series: The Witness: The Murder of Donald Sarpy,The Innocence Files,60,4/21/20,False,
The Innocence Files: Limited Series: The Evidence: The Duty to Correct,The Innocence Files,60,4/21/20,False,
The Innocence Files: Limited Series: The Evidence: The Truth Will Defend Me,The Innocence Files,60,4/21/20,False,
The Innocence Files: Limited Series: The Evidence: Indeed and Without Doubt,The Innocence Files,60,4/21/20,False,
Making Unorthodox,,21,4/21/20,True,Documentary
Unorthodox: Limited Series: Part 4,Unorthodox,54,4/21/20,False,Drama
Unorthodox: Limited Series: Part 3,Unorthodox,54,4/21/20,False,
Unorthodox: Limited Series: Part 2,Unorthodox,54,4/21/20,False,
Unorthodox: Limited Series: Part 1,Unorthodox,54,4/21/20,False,
The Last Dance: Season 1: Episode II,The Last Dance,60,4/21/20,False,
The Last Dance: Season 1: Episode I,The Last Dance,60,4/21/20,False,
Suits: Season 1: Pilot Part 1 & 2,Suits,42,4/20/20,False,
School Life,,100,4/20/20,True,Documentary
Bethany Hamilton: Unstoppable,,99,4/20/20,True,Documentary
I AM A KILLER: Season 1: A Matter of Life and Death,I AM A KILLER,51,4/20/20,False,Documentary
I AM A KILLER: Season 1: Living with the Consequences,I AM A KILLER,51,4/20/20,False,
I AM A KILLER: Season 1: Hunted,I AM A KILLER,51,4/20/20,False,
I AM A KILLER: Season 1: Family Affair,I AM A KILLER,51,4/20/20,False,
I AM A KILLER: Season 1: Declared Competent,I AM A KILLER,51,4/20/20,False,
I AM A KILLER: Season 1: Intended Evil,I AM A KILLER,51,4/20/20,False,
I AM A KILLER: Season 1: Sympathy for the Devil,I AM A KILLER,51,4/20/20,False,
I AM A KILLER: Season 1: The Mockingbird,I AM A KILLER,51,4/20/20,False,
I AM A KILLER: Season 1: Killer in the Eyes of the Law,I AM A KILLER,51,4/20/20,False,
I AM A KILLER: Season 1: Means to an End,I AM A KILLER,51,4/20/20,False,
The Society: Season 1: How it Happens,The Society,60,4/20/20,False,"Drama,Sci-Fi & Fantasy"
The Society: Season 1: New Names,The Society,60,4/20/20,False,
The Society: Season 1: Poison,The Society,60,4/20/20,False,
The Society: Season 1: Allie's Rules,The Society,60,4/20/20,False,
The Society: Season 1: Like a F-ing God or Something,The Society,60,4/20/20,False,
The Society: Season 1: Putting on the Clothes,The Society,60,4/19/20,False,
The Society: Season 1: Drop by Drop,The Society,60,4/19/20,False,
The Society: Season 1: Childhood's End,The Society,60,4/19/20,False,
The Society: Season 1: Our Town,The Society,60,4/19/20,False,
The Society: Season 1: What Happened,The Society,60,4/19/20,False,
Altered Carbon: Season 2: Broken Angels,Altered Carbon,50,4/19/20,False,Sci-Fi & Fantasy
Vis a vis: Season 1_hook_primary_16x9,,0,4/19/20,False,
Toy Boy: Season 1: Fallen Angels,Toy Boy,60,4/19/20,False,"Drama,Mystery,Crime"
Toy Boy: Season 1: Redemption,Toy Boy,60,4/19/20,False,
Outer Banks: Season 1: The Phantom,Outer Banks,49,4/19/20,False,"Drama,Action & Adventure"
Outer Banks: Season 1: The Bell Tower,Outer Banks,49,4/19/20,False,
Outer Banks: Season 1: The Runway,Outer Banks,49,4/19/20,False,
Outer Banks: Season 1: Dead Calm,Outer Banks,49,4/19/20,False,
Outer Banks: Season 1: Parcel 9,Outer Banks,49,4/19/20,False,
Outer Banks: Season 1: Midsummers,Outer Banks,49,4/19/20,False,
The Blacklist: Season 7: Gordon Kemp (No. 158),The Blacklist,43,4/19/20,False,
The Blacklist: Season 7: Twamie Ullulaq (No. 126),The Blacklist,43,4/19/20,False,
Outer Banks: Season 1: Spy Games,Outer Banks,49,4/18/20,False,
Outer Banks: Season 1: The Forbidden Zone,Outer Banks,49,4/18/20,False,
Outer Banks: Season 1: The Lucky Compass,Outer Banks,49,4/18/20,False,
Outer Banks: Season 1: Pilot,Outer Banks,49,4/18/20,False,
Too Hot to Handle: Season 1: Lust or Bust,Too Hot to Handle,40,4/18/20,False,
Too Hot to Handle: Season 1: Sisters over Misters,Too Hot to Handle,40,4/18/20,False,
Too Hot to Handle: Season 1: The Bryce Isn't Right,Too Hot to Handle,40,4/18/20,False,
Too Hot to Handle: Season 1: Boys to Men,Too Hot to Handle,40,4/18/20,False,
"Too Hot to Handle: Season 1: Two's Company, Three's a ... Threesome",Too Hot to Handle,40,4/18/20,False,
Too Hot to Handle: Season 1: Revenge Is a Dish Best Served Hot,Too Hot to Handle,40,4/17/20,False,
Too Hot to Handle: Season 1: When Harry Met Francesca,Too Hot to Handle,40,4/17/20,False,
"Too Hot to Handle: Season 1: Love, Sex or Money",Too Hot to Handle,40,4/17/20,False,
Toy Boy: Season 1: Young Pup,Toy Boy,60,4/16/20,False,
